Autism: Staphylococcus, Alistipes, Eubacterium, Pseudomonas, Neisseria, Escherichia, Acinetobacter, Corynebacterium, Rothia, Actinomyces, Collinsella, Coriobacteriaceae, Desulfovibrio, Lachnospira, Akkermansia, Escherichia coli, Clostridium, Granulicatella, Gemella, Proteobacteria
Pulmonary arterial hypertension: Streptococcus, Bacteroides, Lactobacillus, Prevotella, Faecalibacterium, Veillonella, Bifidobacterium, Fusobacterium, Blautia, Enterococcus, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Dialister, Actinomyces, Clostridium
Acute fatty liver: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Excessive vomiting: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Chronic stress: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Acute lymphoblastic leukemia: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Biliary tract cancer: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Kidney stone with hypertension: Streptococcus, Lactobacillus, Bacteroides, Prevotella, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Dialister, Actinomyces, Clostridium
Bleeding gum: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Cystic fibrosis exacerbation: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Stevens-Johnson syndrome: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Pressure ulcers: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Genitourinary lichen sclerosus: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Parabacteroides, Roseburia, Ruminococcus, Lachnospiraceae, Haemophilus, Dialister, Coprococcus, Enterobacteriaceae, Actinomyces, Clostridium
Folliculitis decalvans: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Nasolacrimal duct obstruction: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Enterococcus, Fusobacterium, Blautia, Roseburia, Ruminococcus, Parabacteroides, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Dialister, Actinomyces, Ruminococcaceae
Chronic urticaria: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Migraine: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Idiopathic central precocious puberty: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Multiple system atrophy.1: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Human end-stage renal disease: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Gastrointestinal follicular lymphoma: Bifidobacterium, Faecalibacterium, Blautia, Roseburia, Fusobacterium, Bacteroides, Enterococcus, Veillonella, Ruminococcus, Parabacteroides, Lactobacillus, Streptococcus, Lachnospiraceae, Haemophilus, Prevotella, Coprococcus, Actinomyces, Enterobacteriaceae, Dialister, Acinetobacter
Invasive colorectal cancer: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
E-smoking: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Traumatic Brain Injury: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Blautia, Enterococcus, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Acinetobacter
Oropharyngeal cancer: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Hypopharyngeal cancer: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Clostridium
Neisseria gonorrhoeae infection: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Dry eye syndrome: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Parabacteroides, Roseburia, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Vulvodynia: Bacteroides, Lactobacillus, Streptococcus, Faecalibacterium, Veillonella, Prevotella, Bifidobacterium, Fusobacterium, Blautia, Enterococcus, Roseburia, Ruminococcus, Parabacteroides, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Actinomyces, Dialister, Acinetobacter
Normal weight obesity: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Fatigue: Blautia, Bifidobacterium, Faecalibacterium, Enterococcus, Fusobacterium, Parabacteroides, Roseburia, Veillonella, Ruminococcus, Bacteroides, Lactobacillus, Haemophilus, Lachnospiraceae, Streptococcus, Actinomyces, Acinetobacter, Coprococcus, Prevotella, Corynebacterium, Enterobacteriaceae
Covid-19: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
H1N1 Influenza: Streptococcus, Bacteroides, Lactobacillus, Prevotella, Faecalibacterium, Veillonella, Bifidobacterium, Fusobacterium, Blautia, Enterococcus, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Dialister, Actinomyces, Acinetobacter
Recurrent aphthous stomatitis : Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Parabacteroides, Roseburia, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Cognitive impairment: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Parabacteroides, Roseburia, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
